[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=OccupiedTerritory+ predicate=first},74.12792542238857
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},96.5285264241598
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},82.28027263140228
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},68.07555171337646
[Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},87.22468063901445
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameLocal},76.60987354104262
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},73.13038737433581
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},92.7986612508966
[Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=Senegal+ predicate=nameEnglish},87.11503288239699
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=Senegal+ predicate=nameLocal},69.30424137532914
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},76.65396730327383
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=OccupiedTerritory+ predicate=disjointWith},94.8705605673602
[Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},92.75340793393038
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=Senegal+ predicate=nameLocal},91.8832043518183
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}],Item{object=Republique du Senegal+ predicate=nameLocalLong},65.73706436010497
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},66.82317578067845
[Item{object=Senegal+ predicate=nameLocal}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},85.46208139803242
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=Senegal+ predicate=nameLocal},84.84450554197515
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},65.9361167757835
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},68.63747114178894
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},74.07928696399068
[Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},72.88328054158588
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=Senegal+ predicate=nameLocal},75.7288404649215
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=OccupiedTerritory+ predicate=first},80.2599787513259
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},76.39944580539957
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},69.68045350329652
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},96.6437503169942
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},98.97380939522725
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},99.34137056563898
[Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},82.53572004067897
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameLocal},76.59256884002417
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},97.72392377207655
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},95.4118736324181
[Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=Senegal+ predicate=nameEnglish},67.99599717461052
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=Senegal+ predicate=nameLocal},79.29470334086595
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},76.27681520377162
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=OccupiedTerritory+ predicate=disjointWith},80.74544763794717
[Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},65.27612010458526
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=Senegal+ predicate=nameLocal},65.25874361943826
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}],Item{object=Republique du Senegal+ predicate=nameLocalLong},91.38043477844961
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},78.299331012841
[Item{object=Senegal+ predicate=nameLocal}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},72.78115174267806
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=Senegal+ predicate=nameLocal},75.52104255767932
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},78.10955945903011
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},84.16121824226377
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},92.7832832773216
[Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},75.00211139576076
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=Senegal+ predicate=nameLocal},73.9009829453807
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=OccupiedTerritory+ predicate=first},71.85134649567892
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},97.77131136697598
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},81.67291270741528
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},95.29547381123632
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},85.55442676057106
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},87.98774399778435
[Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},91.73045710611103
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameLocal},78.99411901258385
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},83.38749399329238
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},79.11068197479352
[Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=Senegal+ predicate=nameEnglish},97.53007613258504
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=Senegal+ predicate=nameLocal},67.00669655320966
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},66.3867502873067
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=OccupiedTerritory+ predicate=disjointWith},93.40993363179541
[Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},96.35856998297699
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=Senegal+ predicate=nameLocal},74.10082144112906
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}],Item{object=Republique du Senegal+ predicate=nameLocalLong},99.886863679908
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},93.57079952038562
[Item{object=Senegal+ predicate=nameLocal}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},74.07701320364806
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=Senegal+ predicate=nameLocal},76.71827120937988
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},86.99479285355862
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},73.25263809208946
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},81.83523832334507
[Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},65.4742355105426
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=Senegal+ predicate=nameLocal},70.76395138818795
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=OccupiedTerritory+ predicate=first},72.99892084840803
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},83.20227369425037
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},82.7188787930791
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},80.91355671466336
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},91.65937005288524
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},82.09737901307308
[Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},73.12363396332297
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameLocal},88.4817709278021
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},96.64956866069033
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},77.46320041613704
[Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=Senegal+ predicate=nameEnglish},75.97144618188362
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=Senegal+ predicate=nameLocal},85.43031795269248
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},96.78457518559996
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=OccupiedTerritory+ predicate=disjointWith},72.43578769529236
[Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},92.11345924313423
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=Senegal+ predicate=nameLocal},92.88065570820255
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}],Item{object=Republique du Senegal+ predicate=nameLocalLong},73.3127456289244
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},67.6083676266248
[Item{object=Senegal+ predicate=nameLocal}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},78.36183980520434
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=Senegal+ predicate=nameLocal},88.86004160128573
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},88.14098901920354
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},65.19800380745305
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},98.60841483458424
[Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},82.38468501042087
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=Senegal+ predicate=nameLocal},81.5770893488529
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=OccupiedTerritory+ predicate=first},70.83827938871437
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},83.89687750440788
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},96.39397298795932
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameEnglish},87.87105191508175
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},77.83290485833162
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},65.89129530083027
[Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=OccupiedTerritory+ predicate=disjointWith},92.99222576377088
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=OccupiedTerritory+ predicate=disjointWith}],Item{object=Senegal+ predicate=nameLocal},99.03462334229394
[Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},87.90525562457795
[Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}],Item{object=Republique du Senegal+ predicate=nameLocalLong},68.37695540529215
[Item{object=Senegal+ predicate=nameLocal}, Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}],Item{object=Senegal+ predicate=nameEnglish},94.59158739067323
[Item{object=OccupiedTerritory+ predicate=first}, Item{object=Republique du Senegal+ predicate=nameLocalLong}, Item{object=Senegal+ predicate=nameEnglish}],Item{object=Senegal+ predicate=nameLocal},91.30577529749797
[Item{object=OccupiedTerritory+ predicate=disjointWith}, Item{object=Senegal+ predicate=nameEnglish}, Item{object=Senegal+ predicate=nameLocal}],Item{object=OccupiedTerritory+ predicate=first},84.12523887390259
